s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.1001074E+000, 4.1979037E+002, 0.0000000E+000,-1.2709701E+002,-5.2174298E-002,-2.7380713E+001,-1.9036187E-002, 1.0187838E+002, 0.0000000E+000, 3.6929831E+002, 3.6711982E+002, 0.0000000E+000, 9.5384599E-003, 0.0000000E+000, 4.3358127E+003
 2.1682293E+000, 4.2567663E+002, 0.0000000E+000,-1.2955647E+002,-6.6391919E-002,-2.8815414E+001,-1.8488597E-002, 1.0368563E+002, 0.0000000E+000, 3.7069713E+002, 3.7090549E+002, 0.0000000E+000, 9.5746014E-003, 0.0000000E+000, 4.5911234E+003
 2.2223411E+000, 4.3771851E+002, 0.0000000E+000,-1.2630903E+002,-6.1122138E-002,-3.0282746E+001,-1.9583105E-002, 1.0998080E+002, 0.0000000E+000, 3.8395994E+002, 3.9102683E+002, 0.0000000E+000, 9.6051545E-003, 0.0000000E+000, 4.8040236E+003
 2.2810373E+000, 4.3322827E+002, 0.0000000E+000,-1.1805335E+002,-4.7982203E-002,-3.1283060E+001,-2.1108166E-002, 1.1621574E+002, 0.0000000E+000, 4.0840071E+002, 4.0003852E+002, 0.0000000E+000, 9.6305259E-003, 0.0000000E+000, 5.0535307E+003
 2.3446937E+000, 3.9340392E+002, 0.0000000E+000,-1.1057553E+002,-6.4465616E-002,-3.0815023E+001,-2.1110000E-002, 9.9834790E+001, 0.0000000E+000, 3.5414634E+002, 3.5176258E+002, 0.0000000E+000, 9.6550400E-003, 0.0000000E+000, 5.2850641E+003
 2.4041524E+000, 4.0024900E+002, 0.0000000E+000,-1.1426783E+002,-6.8554637E-002,-3.0111059E+001,-2.0761549E-002, 9.7763099E+001, 0.0000000E+000, 3.4868102E+002, 3.5354389E+002, 0.0000000E+000, 9.6767169E-003, 0.0000000E+000, 5.4941212E+003
 2.4625988E+000, 4.7104881E+002, 0.0000000E+000,-1.2768604E+002,-5.9561377E-002,-2.9938312E+001,-2.1112646E-002, 1.1677595E+002, 0.0000000E+000, 4.1751546E+002, 4.3011972E+002, 0.0000000E+000, 9.6950587E-003, 0.0000000E+000, 5.7372127E+003
 2.5219491E+000, 5.8751190E+002, 0.0000000E+000,-1.5491242E+002,-5.6776629E-002,-3.0557637E+001,-2.1550226E-002, 1.4959081E+002, 0.0000000E+000, 5.3906989E+002, 5.5155432E+002, 0.0000000E+000, 9.7114499E-003, 0.0000000E+000, 6.0547601E+003
 2.5856218E+000, 6.4520735E+002, 0.0000000E+000,-1.8107362E+002,-6.2591427E-002,-3.1536542E+001,-2.1447250E-002, 1.6329241E+002, 0.0000000E+000, 5.9376683E+002, 5.9580556E+002, 0.0000000E+000, 9.7267969E-003, 0.0000000E+000, 6.4302043E+003
 2.6408525E+000, 6.5411573E+002, 0.0000000E+000,-1.9892403E+002,-5.3382005E-002,-3.3424939E+001,-2.1196836E-002, 1.6135518E+002, 0.0000000E+000, 5.9088971E+002, 5.8304736E+002, 0.0000000E+000, 9.7399188E-003, 0.0000000E+000, 6.7549848E+003
